Team,Age,Payroll
NYM,29.7,332038234
PHI,29.5,279487933
LAD,29.6,341038001
NYY,29.1,290905867
TOR,29.6,248422288
SF,29.3,195326431
SD,30,209327115
TEX,30.4,219728376
CHC,30.6,197664593
BOS,28.7,191760882
HOU,29,221864832
LAA,29.2,203803889
ATL,29.4,216241056
STL,28.6,135730188
SEA,28.2,152793202
ARI,29.5,189477082
MIN,28.8,145136851
DET,27.6,148199770
BAL,29.2,167552434
KC,28.8,130003058
CIN,28.7,115741107
COL,27.9,125890904
PIT,28.4,88860904
MIL,27.6,112176693
CLE,27.5,102272018
CHW,27.5,78990245
TB,27.4,89877481
ATH,27.6,77137809
WSH,27.5,115886872
MIA,26.8,67261238
