Team,Payroll,Age,BatAge,PAge
NYM,374934564,29.95,28.7,31.2
PHI,309825379,30.5,30.5,30.5
LAD,413517413,30.0,31.6,28.4
NYY,337149200,29.95,30.5,29.4
TOR,306081642,30.1,29.3,30.9
SF,228337740,29.55,28.9,30.2
SD,255483678,29.95,30.2,29.7
TEX,201891666,30.3,30.2,30.4
CHC,246209176,29.75,28.5,31.0
BOS,263567902,29.2,28.0,30.4
HOU,232704993,28.85,29.3,28.4
LAA,191623210,28.6,28.8,28.4
ATL,249849011,30.5,29.4,31.6
STL,111209298,26.9,25.5,28.3
SEA,196674446,28.45,28.3,28.6
ARI,231600334,30.2,29.5,30.9
MIN,122132380,28.95,28.8,29.1
DET,239202272,29.65,26.8,32.5
BAL,214810870,29.0,27.3,30.7
KC,184485858,29.7,28.0,31.4
CIN,147419999,28.0,27.8,28.2
COL,134098586,29.5,26.6,32.4
PIT,119105416,28.8,29.2,28.4
MIL,139337835,27.7,28.5,26.9
CLE,88875208,27.55,27.3,27.8
CHW,105779179,27.1,26.1,28.1
TB,106916666,29.1,27.5,30.7
ATH,135217856,28.25,26.8,29.7
WSH,114466292,27.15,25.0,29.3
MIA,81467949,27.4,25.8,29.0
